bk_Code;ID;PARENT_ID;VERSION;VALUE;LANGUAGE;CODE_VALUE;IUPAC_NAME;TEXT_KEY
000AB471-B6B6-4CE7-BBBB-7588C9677BB3-en;000AB471-B6B6-4CE7-BBBB-7588C9677BB3;NULL;0;;en;13708;NULL;Obligation
000AB471-B6B6-4CE7-BBBB-7588C9677BB3-it;000AB471-B6B6-4CE7-BBBB-7588C9677BB3;NULL;0;SPa 1: Per evitare l'insorgenza di resistenza al massimo 2 trattamenti per coltura con prodotti del gruppo di principi attivi FRAC C3 (tra cui strobilurine).;it;13708;NULL;Obligation
000AB471-B6B6-4CE7-BBBB-7588C9677BB3-fr;000AB471-B6B6-4CE7-BBBB-7588C9677BB3;NULL;0;SPa 1: Pour éviter le développement de résistances, 2 traitements au maximum par culture avec des produits du groupe de matières actives FRAC C3 (notamment les strobilurines).;fr;13708;NULL;Obligation
000AB471-B6B6-4CE7-BBBB-7588C9677BB3-de;000AB471-B6B6-4CE7-BBBB-7588C9677BB3;NULL;0;SPa 1: Zur Vermeidung einer Resistenzbildung maximal 2 Behandlungen pro Kultur mit Produkten aus der Wirkstoffgruppe FRAC C3 (u.a. Strobilurine).;de;13708;NULL;Obligation
000F94EB-0CC1-4545-BE89-BDD88D84C04E-en;000F94EB-0CC1-4545-BE89-BDD88D84C04E;NULL;0;;en;NULL;NULL;ApplicationComment
000F94EB-0CC1-4545-BE89-BDD88D84C04E-fr;000F94EB-0CC1-4545-BE89-BDD88D84C04E;NULL;0;Avant la floraison ou après la récolte.;fr;NULL;NULL;ApplicationComment
000F94EB-0CC1-4545-BE89-BDD88D84C04E-it;000F94EB-0CC1-4545-BE89-BDD88D84C04E;NULL;0;Prima della fioritura o dopo il raccolto;it;NULL;NULL;ApplicationComment
000F94EB-0CC1-4545-BE89-BDD88D84C04E-de;000F94EB-0CC1-4545-BE89-BDD88D84C04E;NULL;0;Vor der Blüte oder nach der Ernte.;de;NULL;NULL;ApplicationComment
00137EC0-92E2-4376-B3CD-630BF7840A09-en;00137EC0-92E2-4376-B3CD-630BF7840A09;NULL;0;;en;14080;NULL;Obligation
00137EC0-92E2-4376-B3CD-630BF7840A09-fr;00137EC0-92E2-4376-B3CD-630BF7840A09;NULL;0;En mélange en cuve selon les indications du titulaire de l'autorisation. ;fr;14080;NULL;Obligation
00137EC0-92E2-4376-B3CD-630BF7840A09-de;00137EC0-92E2-4376-B3CD-630BF7840A09;NULL;0;In Tankmischung gemäss den Angaben der Bewilligungsinhaberin. ;de;14080;NULL;Obligation
00137EC0-92E2-4376-B3CD-630BF7840A09-it;00137EC0-92E2-4376-B3CD-630BF7840A09;NULL;0;Utilizzabile in una miscela estemporanea secondo le indicazioni del titolare dell'autorizzazione ;it;14080;NULL;Obligation
002F5C84-8AAB-4284-839A-0F979550CD5F-de;002F5C84-8AAB-4284-839A-0F979550CD5F;NULL;0;Aluminiumfosetyl (Fosetyl-Al);de;NULL;"Ehtyl hydrogen phosphonate, aluminium salt; Aluminium tris-O-ethyl phosphonate";Substance
002F5C84-8AAB-4284-839A-0F979550CD5F-en;002F5C84-8AAB-4284-839A-0F979550CD5F;NULL;0;Aluminiumfosetyl (Fosetyl-Al);en;NULL;"Ehtyl hydrogen phosphonate, aluminium salt; Aluminium tris-O-ethyl phosphonate";Substance
002F5C84-8AAB-4284-839A-0F979550CD5F-it;002F5C84-8AAB-4284-839A-0F979550CD5F;NULL;0;Fosetil alluminio (Fosetyl-Al);it;NULL;"Ehtyl hydrogen phosphonate, aluminium salt; Aluminium tris-O-ethyl phosphonate";Substance
002F5C84-8AAB-4284-839A-0F979550CD5F-fr;002F5C84-8AAB-4284-839A-0F979550CD5F;NULL;0;fosétyl-aluminium;fr;NULL;"Ehtyl hydrogen phosphonate, aluminium salt; Aluminium tris-O-ethyl phosphonate";Substance
00304869-A1D2-4B23-868D-FE31176C614E-de;00304869-A1D2-4B23-868D-FE31176C614E;NULL;NULL;Novate Milanese;de;20026;NULL;City
00304869-A1D2-4B23-868D-FE31176C614E-en;00304869-A1D2-4B23-868D-FE31176C614E;NULL;NULL;Novate Milanese;en;20026;NULL;City
00304869-A1D2-4B23-868D-FE31176C614E-fr;00304869-A1D2-4B23-868D-FE31176C614E;NULL;NULL;Novate Milanese;fr;20026;NULL;City
00304869-A1D2-4B23-868D-FE31176C614E-it;00304869-A1D2-4B23-868D-FE31176C614E;NULL;NULL;Novate Milanese;it;20026;NULL;City
00376307-7002-47B6-9DD6-2698B98DA984-en;00376307-7002-47B6-9DD6-2698B98DA984;NULL;0;;en;NULL;NULL;Measure
