NK_Codetable_Pest,NK_Codetable_Pest_additionalTextPrimaryKey,NK_Indication,NK_Pest,NK_PestParent,PestType
01DE9A91-31C4-49F3-B5D9-A5A69A197C45,NULL,95DA3EDF-0D00-4D82-A375-E0EFD731DC60,EAB69F66-E022-4C54-8B5F-4EFC76199347,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,013834CF-3604-43F2-B1C9-ACB8F18FD19A,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,01B0319D-0844-4AE8-89ED-4976FDD12B09,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,02347AE5-0342-4610-BDFE-B7E10C1B4533,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,023E775C-6789-4E3F-B02A-E5E5FD66BDCC,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_PARTIAL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,049B158A-46F9-41B8-9529-5EB46BAB7293,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_PARTIAL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,06133B74-BFE6-4387-9984-28DB1454E568,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,0B02EB04-284C-474E-97C4-7D0B69CE2C89,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,0E0885DB-EF4E-40F2-82A9-9BC83502D561,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,0E0AE4A9-A918-4718-BD9B-B7A42E0C39A9,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,0EE5FB9A-4C8F-4015-BEED-875AE0B92B90,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_PARTIAL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,12313FA1-F78B-4C55-9194-DB5406E4A10D,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_PARTIAL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,135509C1-40CA-41CC-8D8D-43408832BDA6,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,153E27C6-0FBB-4B68-BC68-6D6ED9E17CC5,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,15B207B5-48A9-48F5-824E-B4D40A4BEAC5,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,16F0F6AD-54F6-42AC-A98F-D3C0B3F78F5F,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,18016EAD-94AA-4D65-9CB3-AAD40B3E1620,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,18461947-C2F8-48BA-B3F1-8765496BF79C,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,1937B1E6-DA44-4F48-BBD0-B9B0D92842A1,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,19A291F2-2BFA-463A-B999-2D4DF07B291F,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,1A844BBA-C932-4172-8B47-E9E3A532D0FF,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_PARTIAL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,1D746B30-23FF-423A-99AB-30DDDD94DB41,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
0251FEEA-4E71-4881-8B0A-09874F39277A,NULL,1E3AED0B-6D07-4673-A50A-280EA9BC30A8,6C1FE172-CFE6-4E82-B394-4F99A6F8992A,NULL,PEST_FULL_EFFECT
