"NK_PermissionHolder","FAX","AdditionalInformation","NAME","STREET","PostOfficeBox","NK_CodetableCity","Phone","NK_CodetableCountry"
"018C0DAB-6CB8-4F46-B684-4F59117A4F6A","","","Syngenta Agro AG ","Schaffhauserstr. 101","Postfach","7C7276F7-7AE4-4389-9865-C0DC767AB2DC","+41 (0)61 323 56 70 ","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"01A7FE62-324D-4F62-A28D-C9D4876C9856","","","Syngenta Agro GmbH","Anton-Baumgartner-Strasse 125 ","","9BF7EEBE-F520-45DA-BBAE-F1209DEABFF2","","29738AA2-5393-438D-BE07-9D6B56D2ACCF"
"028D7443-0B72-4C38-A408-BF99DBD07703","","","BASF Italia SpA","Via Marconato ","","57437E55-EC8D-472E-845F-D81BF81D1C5A","","BE1D323D-29E4-4570-8618-5463896BE5D2"
"04FDF35E-6B86-429B-B942-D654D14DA1F9","","","Syngenta Agro GmbH","am Technologiepark 1 - 5 ","","BB2AB7AB-2156-4166-8894-1C9EDD2BEA78","","56CCE907-F002-4B0C-B948-98299B1FEA6E"
"066239D5-BCB5-4AC0-A0A1-9157D59087DD","","","Migros-Genossenschafts-Bund","Limmatstrasse 152","266","BB9C34C8-23D4-4503-8ECB-4AB52C8EF38D","","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"0891DE1F-2F9C-491E-BE74-6B381F6ADD48","","","BASF","Carl-Bosch-Str. 64 ","","53803A92-7768-4017-BE19-987401A79D94","+49 4141 9204 248","56CCE907-F002-4B0C-B948-98299B1FEA6E"
"0933EFA5-31C3-4264-9E1F-B71AE70EFC27","","","OGET Innovations GmbH ","Europapark 1 ","8412","1A5F429B-3170-450F-BB4D-05402EAF0752","","29738AA2-5393-438D-BE07-9D6B56D2ACCF"
"0A5D3EDB-8A4A-4C93-B860-DAE06CBDD8A6","","","ISK Biosciences (Schweiz) GmbH","Archivstrasse 18","","2B8372BD-B62D-43BE-AA69-904ADF6D6DE3","","6698DCFD-D86E-4098-A5A4-DA5B71062093"
"0A9B2D73-3E4F-4B88-8516-DF314AC69884","","","BASF Agro SAS","21, chemin de la Sauvegard ","","6173E059-6A38-45DC-A65D-0B34945AEAA4","","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
"0B05ECC7-28FE-4D7A-8540-115AE0D662DA","","","Du Pont De Nemours Italiana","Centro Direzionale Villa Fiorita - Via Piero Gobet ","","E026FF15-120D-4574-919F-F0A08C5CC46F","","BE1D323D-29E4-4570-8618-5463896BE5D2"
"0F472504-D8B0-47EA-8CBE-1D597AA82524","","","Phyto - Service","15, rue du Pont, Pontijou - RD 924 ","","4126D111-467E-42E4-85C1-C85F9FDC87B5","","C3FFE09F-F38F-42B3-8601-CE60DB2A37F5"
